#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Расход,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Панель индикации,Параметр:Заказной код:Среда,Параметр:Заказной код:Материал поплавка,Параметр:Заказной код:Материал уплотнения,Параметр:Заказной код:Защитный материал,Параметр:Заказной код:Концевые выключатели
,P-Type-PS-1-3-3-1-6-2-2-L-1R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,ПВДФ,Витон,SS316,Один
,P-Type-PS-1-3-3-1-6-2-2-L-2R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,ПВДФ,Витон,SS316,Два
,P-Type-PS-1-3-3-1-7-1-2-L-0,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Тефлон,NBR,SS316,Нет
,P-Type-PS-1-3-3-1-7-1-2-L-1R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Тефлон,NBR,SS316,Один
,P-Type-PS-1-3-3-1-7-1-2-L-2R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Тефлон,NBR,SS316,Два
,P-Type-PS-1-3-3-1-7-2-2-L-0,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Тефлон,Витон,SS316,Нет
,P-Type-PS-1-3-3-1-7-2-2-L-1R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Тефлон,Витон,SS316,Один
,P-Type-PS-1-3-3-1-7-2-2-L-2R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Боросиликатное стекло,Вода,Тефлон,Витон,SS316,Два
,P-Type-PS-1-3-3-2-1-1-2-L-0,MNPT 1/4,"0,03-0,3 л/мин",SS316,Пластик,Вода,SS304,NBR,SS316,Нет
,P-Type-PS-1-3-3-2-1-1-2-L-1R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Пластик,Вода,SS304,NBR,SS316,Один
,P-Type-PS-1-3-3-2-1-1-2-L-2R,MNPT 1/4,"0,03-0,3 л/мин",SS316,Пластик,Вода,SS304,NBR,SS316,Два
