#,Заказной код,Параметр:Заказной код:Давления открытия,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал седла,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная
,CVA-M-8N-A-EP,"0,2..3,5бар",Ø 10мм,NPT 1/2 наруж.,Этиленпропилен,206 бар,-46°,149°C
,CVA-M-4R-A-EP,"0,2..3,5бар","Ø 4,8мм",RT 1/4 наруж.,Этиленпропилен,206 бар,-46°,149°C
,CVA-M-8R-A-EP,"0,2..3,5бар",Ø 10мм,RT 1/2 наруж.,Этиленпропилен,206 бар,-46°,149°C
,CVA-MF-4N-A-EP,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Этиленпропилен,206 бар,-46°,149°C
,CVA-MF-8N-A-EP,"0,2..3,5бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Этиленпропилен,206 бар,-46°,149°C
,CVA-F-4N-B-EP,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 внутр.,Этиленпропилен,206 бар,-46°,149°C
,CVA-F-8N-B-EP,"3,5..10,3бар",Ø 10мм,NPT 1/2 внутр.,Этиленпропилен,206 бар,-46°,149°C
,CVA-M-4N-B-EP,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 наруж.,Этиленпропилен,206 бар,-46°,149°C
,CVA-M-8N-B-EP,"3,5..10,3бар",Ø 10мм,NPT 1/2 наруж.,Этиленпропилен,206 бар,-46°,149°C
,CVA-M-4R-B-EP,"3,5..10,3бар","Ø 4,8мм",RT 1/4 наруж.,Этиленпропилен,206 бар,-46°,149°C
,CVA-M-8R-B-EP,"3,5..10,3бар",Ø 10мм,RT 1/2 наруж.,Этиленпропилен,206 бар,-46°,149°C
,CVA-MF-4N-B-EP,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Этиленпропилен,206 бар,-46°,149°C
,CVA-MF-8N-B-EP,"3,5..10,3бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Этиленпропилен,206 бар,-46°,149°C
,CVA-F-4N-C-EP,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 внутр.,Этиленпропилен,206 бар,-46°,149°C
,CVA-F-8N-C-EP,"10,3..24,1бар",Ø 10мм,NPT 1/2 внутр.,Этиленпропилен,206 бар,-46°,149°C
,CVA-M-4N-C-EP,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 наруж.,Этиленпропилен,206 бар,-46°,149°C
,CVA-M-8N-C-EP,"10,3..24,1бар",Ø 10мм,NPT 1/2 наруж.,Этиленпропилен,206 бар,-46°,149°C
,CVA-M-4R-C-EP,"10,3..24,1бар","Ø 4,8мм",RT 1/4 наруж.,Этиленпропилен,206 бар,-46°,149°C
,CVA-M-8R-C-EP,"10,3..24,1бар",Ø 10мм,RT 1/2 наруж.,Этиленпропилен,206 бар,-46°,149°C
,CVA-MF-4N-C-EP,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Этиленпропилен,206 бар,-46°,149°C
,CVA-MF-8N-C-EP,"10,3..24,1бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Этиленпропилен,206 бар,-46°,149°C
,CVA-F-4N-D-EP,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 внутр.,Этиленпропилен,206 бар,-46°,149°C
,CVA-F-8N-D-EP,"24,1..41,4бар",Ø 10мм,NPT 1/2 внутр.,Этиленпропилен,206 бар,-46°,149°C
,CVA-M-4N-D-EP,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 наруж.,Этиленпропилен,206 бар,-46°,149°C
,CVA-M-8N-D-EP,"24,1..41,4бар",Ø 10мм,NPT 1/2 наруж.,Этиленпропилен,206 бар,-46°,149°C
,CVA-M-4R-D-EP,"24,1..41,4бар","Ø 4,8мм",RT 1/4 наруж.,Этиленпропилен,206 бар,-46°,149°C
,CVA-M-8R-D-EP,"24,1..41,4бар",Ø 10мм,RT 1/2 наруж.,Этиленпропилен,206 бар,-46°,149°C
,CVA-MF-4N-D-EP,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Этиленпропилен,206 бар,-46°,149°C
,CVA-MF-8N-D-EP,"24,1..41,4бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Этиленпропилен,206 бар,-46°,149°C
