#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду,Условное обозначение:Заказной код:Подсоединение,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,Параметр:Заказной код:Материал уплотнения сальника,Параметр:Заказной код:Форма корпуса,Параметр:Заказной код:Тип иглы
,SV1-F-A-4R-PK,RT 1/4,414 бар,"0,37","4,3",RT 1/4 внутр.,-54°С,232°С,PEEK,Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-F-A-6N-PK,NPT 3/8,414 бар,"0,73","6,3",NPT 3/8 внутр.,-54°С,232°С,PEEK,Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-F-A-6R-PK,RT 3/8,414 бар,"0,73","6,3",RT 3/8 внутр.,-54°С,232°С,PEEK,Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-F-A-8N-PK,NPT 1/2,414 бар,"0,73","6,3",NPT 1/2 внутр.,-54°С,232°С,PEEK,Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV2-F-A-8R-PK,RT 1/2,414 бар,"0,73","6,3",RT 1/2 внутр.,-54°С,232°С,PEEK,Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV1-M-A-4N-PK,NPT 1/4,414 бар,"0,37","4,3",NPT 1/4 наруж.,-54°С,232°С,PEEK,Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV1-M-A-4R-PK,RT 1/4,414 бар,"0,37","4,3",RT 1/4 наруж.,-54°С,232°С,PEEK,Угловой<br><img src=assets/images/SV_HA_s100.jpg>,V-образная (стандарт)<br><img src=assets/images/NV-needle-V.jpg>
,SV1-H-6M-S,Hy-Lok 6mm,414 бар,"0,37","4,3",Hy-Lok 6mm,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/images/NV-needle-S.jpg>
,SV2-H-10M-S,Hy-Lok 10mm,414 бар,"0,73","6,3",Hy-Lok 10mm,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/images/NV-needle-S.jpg>
,SV2-H-12M-S,Hy-Lok 12mm,414 бар,"0,73","6,3",Hy-Lok 12mm,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/images/NV-needle-S.jpg>
,SV1-H-4T-S,Hy-Lok 1/4,414 бар,"0,37","4,3",Hy-Lok 1/4,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/images/NV-needle-S.jpg>
,SV2-H-6T-S,Hy-Lok 3/8,414 бар,"0,73","6,3",Hy-Lok 3/8,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/images/NV-needle-S.jpg>
,SV2-H-8T-S,Hy-Lok 1/2,414 бар,"0,73","6,3",Hy-Lok 1/2,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/images/NV-needle-S.jpg>
,SV1-F-4N-S,NPT 1/4,414 бар,"0,37","4,3",NPT 1/4 внутр.,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/images/NV-needle-S.jpg>
,SV1-F-4R-S,RT 1/4,414 бар,"0,37","4,3",RT 1/4 внутр.,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/images/NV-needle-S.jpg>
,SV2-F-6N-S,NPT 3/8,414 бар,"0,73","6,3",NPT 3/8 внутр.,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/images/NV-needle-S.jpg>
,SV2-F-6R-S,RT 3/8,414 бар,"0,73","6,3",RT 3/8 внутр.,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/images/NV-needle-S.jpg>
,SV2-F-8N-S,NPT 1/2,414 бар,"0,73","6,3",NPT 1/2 внутр.,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/images/NV-needle-S.jpg>
,SV2-F-8R-S,RT 1/2,414 бар,"0,73","6,3",RT 1/2 внутр.,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/images/NV-needle-S.jpg>
,SV1-M-4N-S,NPT 1/4,414 бар,"0,37","4,3",NPT 1/4 наруж.,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/images/NV-needle-S.jpg>
,SV1-M-4R-S,RT 1/4,414 бар,"0,37","4,3",RT 1/4 наруж.,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/images/SV_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/images/NV-needle-S.jpg>
,SV1-H-A-6M-S,Hy-Lok 6mm,414 бар,"0,37","4,3",Hy-Lok 6mm,-54°С,93°С,PTFE (стандарт),Угловой<br><img src=assets/images/SV_HA_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/images/NV-needle-S.jpg>
