#,Заказной код,Параметр:Заказной код:Вход,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Выход,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Материал уплотнения,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,Параметр:Заказной код:Материал
,93620C1373,RT 1 1/4,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Латунь
,93620C1381,NPT 1 1/4,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Латунь
,93620C1383,NPT 1 1/4,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Латунь
,93620C1391,G 1 1/2,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Латунь
,93620C1393,G 1 1/2,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Латунь
,93620C1401,RT 1 1/2,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Латунь
,93620C1403,RT 1 1/2,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Латунь
,93620C1411,NPT 1 1/2,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Латунь
,93620C1413,NPT 1 1/2,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Латунь
,94625A1331,G 1,"от 0,3 до 10бар","27,1",G 2,25мм,Нитрил,-196°C,250°C,Нерж.сталь
,94625A1333,G 1,"от 0,3 до 10бар","27,1",G 2,25мм,Витон,-196°C,250°C,Нерж.сталь
,94625A1341,RT 1,"от 0,3 до 10бар","27,1",G 2,25мм,Нитрил,-196°C,250°C,Нерж.сталь
