#;Заказной код;Параметр:Заказной код:Подсоединение;Параметр:Заказной код:Давление;Параметр:Заказной код:Cv;Параметр:Заказной код:Ø;Параметр:Заказной код:Температура минимальная;Параметр:Заказной код:Температура максимальная;Параметр:Заказной код:Материал седла;Параметр:Заказной код:Форма корпуса;Условное обозначение:Заказной код:Подсоединение
;HB2-B3-F-4N-P;NPT 1/4;103 бар;0,87;6,4;-54°C;148°C;PTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;NPT 1/4 внутр.
;HB3-B3-F-6N;NPT 3/8;414 бар;3,62;10,3;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;NPT 3/8 внутр.
;HB3-B3-F-6N-P;NPT 3/8;103 бар;3,62;10,3;-54°C;148°C;PTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;NPT 3/8 внутр.
;HB3-B3-F-8N;NPT 1/2;414 бар;3,62;10,3;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;NPT 1/2 внутр.
;HB3-B3-F-8N-P;NPT 1/2;103 бар;3,62;10,3;-54°C;148°C;PTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;NPT 1/2 внутр.
;HB1-B3-M-4N;NPT 1/4;414 бар;0,63;4,2;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;NPT 1/4 наруж.
;HB1-B3-M-4N-P;NPT 1/4;103 бар;0,63;4,2;-54°C;148°C;PTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;NPT 1/4 наруж.
;HB2-B3-M-6N;NPT 3/8;414 бар;0,87;6,4;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;NPT 3/8 наруж.
;HB2-B3-M-6N-P;NPT 3/8;103 бар;0,87;6,4;-54°C;148°C;PTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;NPT 3/8 наруж.
;HB3-B3-M-8N;NPT 1/2;414 бар;3,62;10,3;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;NPT 1/2 наруж.
;HB3-B3-M-8N-P;NPT 1/2;103 бар;3,62;10,3;-54°C;148°C;PTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;NPT 1/2 наруж.
;HB2-B3-F-4R;RT 1/4;414 бар;2,34;6,4;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 1/4 внутр.
;HB2-B3-F-4R-P;RT 1/4;103 бар;2,34;6,4;-54°C;148°C;PTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 1/4 внутр.
;HB3-B3-F-6R;RT 3/8;414 бар;3,62;10,3;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 3/8 внутр.
;HB3-B3-F-6R-P;RT 3/8;103 бар;3,62;10,3;-54°C;148°C;PTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 3/8 внутр.
;HB3-B3-F-8R;RT 1/2;414 бар;3,62;10,3;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 1/2 внутр.
;HB3-B3-F-8R-P;RT 1/2;103 бар;3,62;10,3;-54°C;148°C;PTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 1/2 внутр.
;HB1-B3-M-4R;RT 1/4;414 бар;0,63;4,2;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 1/4 наруж.
;HB1-B3-M-4R-P;RT 1/4;103 бар;0,63;4,2;-54°C;148°C;PTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 1/4 наруж.
;HB2-B3-M-6R;RT 3/8;414 бар;0,87;6,4;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 3/8 наруж.
;HB2-B3-M-6R-P;RT 3/8;103 бар;0,87;6,4;-54°C;148°C;PTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 3/8 наруж.
;HB3-B3-M-8R;RT 1/2;414 бар;3,62;10,3;-54°C;148°C;PCTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 1/2 наруж.
;HB3-B3-M-8R-P;RT 1/2;103 бар;3,62;10,3;-54°C;148°C;PTFE;3-х ходовой<br><img src=assets/images/102_3H_s100.jpg>;RT 1/2 наруж.
;HB1-H-3M-PK;Hy-Lok 3мм;414 бар;0,18;2,2;-54°C;232°C;PEEK;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;Hy-Lok 3мм
;HB1-H-6M-PK;Hy-Lok 6мм;414 бар;0,63;4,2;-54°C;232°C;PEEK;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;Hy-Lok 6мм
;HB2-H-8M-PK;Hy-Lok 8мм;414 бар;2,34;6,4;-54°C;232°C;PEEK;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;Hy-Lok 8мм
;HB1-H-2T-PK;Hy-Lok 1/8;414 бар;0,21;2,4;-54°C;232°C;PEEK;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;Hy-Lok 1/8
;HB1-H-4T-PK;Hy-Lok 1/4;414 бар;0,93;4,2;-54°C;232°C;PEEK;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;Hy-Lok 1/4
;HB2-H-6T-PK;Hy-Lok 3/8;414 бар;2,34;6,4;-54°C;232°C;PEEK;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;Hy-Lok 3/8
;HB3-H-8T-PK;Hy-Lok 1/2;414 бар;6,42;10,3;-54°C;232°C;PEEK;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;Hy-Lok 1/2
;HB1-F-2N-PK;NPT 1/8;414 бар;0,93;4,2;-54°C;232°C;PEEK;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 1/8 внутр.
;HB2-F-4N-PK;NPT 1/4;414 бар;2,34;6,4;-54°C;232°C;PEEK;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 1/4 внутр.
;HB3-F-6N-PK;NPT 3/8;414 бар;6,42;10,3;-54°C;232°C;PEEK;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 3/8 внутр.
;HB3-F-8N-PK;NPT 1/2;414 бар;6,42;10,3;-54°C;232°C;PEEK;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 1/2 внутр.
;HB1-M-4N-PK;NPT 1/4;414 бар;0,93;4,2;-54°C;232°C;PEEK;Проходной 2-х ходовой (по умолчанию)<br><img src=assets/images/102_H_s100.jpg>;NPT 1/4 наруж.
