#,Заказной код,Условное обозначение:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:CV,Параметр:Заказной код:Ду(мм),Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Минимальная температура,Параметр:Заказной код:Максимальная температура,Параметр:Заказной код:Седло Шара,Параметр:Заказной код:Уплотнение штуцеров,Параметр:Заказной код:Форма корпуса,Параметр:Заказной код:Крепление на панель,Параметр:Заказной код:Сальник
,H3B-F-16R,внутр.,340 бар,30,19,RT 1,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-6R,внутр.,414 бар,"7,5",10,RT 3/8,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-F-16R-PC,внутр.,340 бар,30,19,RT 1,-30°C,180°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-F-16R-PC,внутр.,340 бар,30,19,RT 1,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-6R-PC,внутр.,414 бар,"7,5",10,RT 3/8,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-F-16R-PK,внутр.,410 бар,30,19,NPT 1,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-F-16R-PK,внутр.,410 бар,30,19,RT 1,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-6R-PK,внутр.,690 бар,"7,5",10,RT 3/8,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-F-12R,внутр.,340 бар,10,"12,7",RT 3/4,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-F-12R,внутр.,340 бар,30,19,RT 3/4,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-F-12R,внутр.,340 бар,10,"12,7",RT 3/4,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-F-12R,внутр.,340 бар,10,"12,7",RT 3/4,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-F-12R-PC,внутр.,340 бар,10,"12,7",RT 3/4,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-F-12R-PC,внутр.,340 бар,30,19,RT 3/4,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-F-12R-PC,внутр.,340 бар,10,"12,7",RT 3/4,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-F-12R-PC,внутр.,340 бар,10,"12,7",RT 3/4,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
