#,Заказной код,Условное обозначение:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:CV,Параметр:Заказной код:Ду(мм),Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Минимальная температура,Параметр:Заказной код:Максимальная температура,Параметр:Заказной код:Седло Шара,Параметр:Заказной код:Уплотнение штуцеров,Параметр:Заказной код:Форма корпуса,Параметр:Заказной код:Крепление на панель,Параметр:Заказной код:Сальник
,H1B-F-6N-PK,внутр.,690 бар,"7,5",10,NPT 3/8,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-F-12N,внутр.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-F-12N,внутр.,340 бар,30,19,NPT 3/4,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3B-F-12N,внутр.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PVDF,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3B-F-12N,внутр.,340 бар,30,19,NPT 3/4,-23°C,191°C,PVDF,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-F-12N,внутр.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-F-12N,внутр.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-F-12N-PC,внутр.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-F-12N-PC,внутр.,340 бар,30,19,NPT 3/4,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3B-F-12N-PC,внутр.,340 бар,30,19,NPT 3/4,-30°C,180°C,PCTFE,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3B-F-12N-PC,внутр.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PCTFE,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-F-12N-PC,внутр.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-F-12N-PC,внутр.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-F-12N-PK,внутр.,410 бар,30,19,NPT 3/4,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-F-12N-PK,внутр.,410 бар,10,"12,7",NPT 3/4,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3B-F-12N-PK,внутр.,410 бар,10,"12,7",NPT 3/4,-23°C,191°C,PEEK,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3B-F-12N-PK,внутр.,410 бар,30,19,NPT 3/4,-23°C,191°C,PEEK,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-F-12N-PK,внутр.,410 бар,10,"12,7",NPT 3/4,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-F-12N-PK,внутр.,410 бар,10,"12,7",NPT 3/4,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-4N,внутр.,414 бар,"7,5",10,NPT 1/4,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-4N-PC,внутр.,414 бар,"7,5",10,NPT 1/4,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-4N-PK,внутр.,690 бар,"7,5",10,NPT 1/4,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3B-F-8N,внутр.,340 бар,10,"12,7",NPT 1/2,-23°C,191°C,PVDF,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-8N,внутр.,414 бар,"7,5",10,NPT 1/2,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-F-8N,внутр.,340 бар,10,"12,7",NPT 1/2,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-F-8N,внутр.,340 бар,"7,5",10,NPT 1/2,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3B-F-8N-PC,внутр.,340 бар,10,"12,7",NPT 1/2,-23°C,191°C,PCTFE,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-8N-PC,внутр.,414 бар,"7,5",10,NPT 1/2,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-F-8N-PC,внутр.,340 бар,10,"12,7",NPT 1/2,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-F-8N-PC,внутр.,340 бар,"7,5",10,NPT 1/2,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3B-F-8N-PK,внутр.,410 бар,10,"12,7",NPT 1/2,-23°C,191°C,PEEK,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-8N-PK,внутр.,690 бар,"7,5",10,NPT 1/2,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-F-8N-PK,внутр.,410 бар,"7,5",10,NPT 1/2,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-4G-PC,внутр.,414 бар,"7,5",10,G 1/4,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-4G-PK,внутр.,690 бар,"7,5",10,G 1/4,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-4G,внутр.,414 бар,"7,5",10,G 1/4,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-8G-PC,внутр.,414 бар,"7,5",10,G 1/2,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-8G-PK,внутр.,690 бар,"7,5",10,G 1/2,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-F-8G,внутр.,414 бар,"7,5",10,G 1/2,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-8M-ML,,414 бар,"2,7",6,Hy-Lok 8мм,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-H-8M-PC-ML,,414 бар,"2,7",6,Hy-Lok 8мм,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-H-8M-PK-ML,,690 бар,"2,7",6,Hy-Lok 8мм,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-H-16M-ML,,340 бар,10,"12,7",Hy-Lok 16мм,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-H-6M-ML,,414 бар,"1,2","4,8",Hy-Lok 6мм,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-16M,,340 бар,10,"12,7",Hy-Lok 16мм,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-16M-PC-ML,,340 бар,10,"12,7",Hy-Lok 16мм,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-H-6M-PC-ML,,414 бар,"1,2","4,8",Hy-Lok 6мм,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-16M-PC,,340 бар,10,"12,7",Hy-Lok 16мм,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-16M-PK-ML,,410 бар,10,"12,7",Hy-Lok 16мм,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-H-6M-PK-ML,,690 бар,"1,2","4,8",Hy-Lok 6мм,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-A-H-16M-PK,,410 бар,10,"12,7",Hy-Lok 16мм,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-10T,,340 бар,10,"12,7",Hy-Lok 5/8,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-H-10T,,340 бар,10,"12,7",Hy-Lok 5/8,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-10T-PC,,340 бар,10,"12,7",Hy-Lok 5/8,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-H-10T-PC,,340 бар,10,"12,7",Hy-Lok 5/8,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-10T-PK,,410 бар,10,"12,7",Hy-Lok 5/8,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-H-10T-PK,,410 бар,10,"12,7",Hy-Lok 5/8,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-H-6T-ML,,414 бар,"3,7","7,1",Hy-Lok 3/8,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H1B-H-6T-PC-ML,,414 бар,"3,7","7,1",Hy-Lok 3/8,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-A-H-12T,,340 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-H-12T,,340 бар,19,"15,8",Hy-Lok 3/4,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3B-H-12T,,340 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PVDF,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3B-H-12T,,340 бар,19,"15,8",Hy-Lok 3/4,-23°C,191°C,PVDF,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-12T,,340 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-H-12T,,340 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-H-12T-PC,,340 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-H-12T-PC,,340 бар,19,"15,8",Hy-Lok 3/4,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3B-H-12T-PC,,340 бар,19,"15,8",Hy-Lok 3/4,-30°C,180°C,PCTFE,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3B-H-12T-PC,,340 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PCTFE,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-H-12T-PC,,340 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-H-12T-PC,,340 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-H-12T-PK,,410 бар,19,"15,8",Hy-Lok 3/4,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-H-12T-PK,,410 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-3B-H-12T-PK,,410 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PEEK,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3B-H-12T-PK,,410 бар,19,"15,8",Hy-Lok 3/4,-23°C,191°C,PEEK,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-H-12T-PK,,410 бар,10,"12,7",Hy-Lok 3/4,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-H-25M,,340 бар,30,19,Hy-Lok 25мм,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-H-25M-ML,,340 бар,30,19,Hy-Lok 25мм,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-A-H-25M-PC,,340 бар,30,19,Hy-Lok 25мм,-30°C,180°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-H-25M-PC-ML,,340 бар,30,19,Hy-Lok 25мм,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-H-25M-PK-ML,,410 бар,30,19,Hy-Lok 25мм,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H3B-A-H-25M-PK,,410 бар,30,19,Hy-Lok 25мм,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-H-16T,,340 бар,30,19,Hy-Lok 1,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-H-16T,,340 бар,30,19,Hy-Lok 1,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3B-H-16T,,340 бар,30,19,Hy-Lok 1,-23°C,191°C,PVDF,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-H-16T-PC,,340 бар,30,19,Hy-Lok 1,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-H-16T-PC,,340 бар,30,19,Hy-Lok 1,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3B-H-16T-PC,,340 бар,30,19,Hy-Lok 1,-30°C,180°C,PCTFE,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-H-16T-PK,,410 бар,30,19,Hy-Lok 1,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-H-16T-PK,,410 бар,30,19,Hy-Lok 1,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-3B-H-16T-PK,,410 бар,30,19,Hy-Lok 1,-23°C,191°C,PEEK,Viton,3-х ходовой вход снизу<br/><img src=assets/inventory/105_3BH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-A-H-18M,,340 бар,19,"15,8",Hy-Lok 18мм,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H3B-H-18M-ML,,340 бар,19,"15,8",Hy-Lok 18мм,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
,H2B-H-18M-ML,,340 бар,10,"12,7",Hy-Lok 18мм,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,да<br/><img src=assets/inventory/105-ML.png>,PTFE
