"#","Код","Параметр:Код:Подсоединение","Параметр:Код:Длина капиллярной трубки, мм","Параметр:Код:Микропереключатель","Параметр:Код:Наружный диаметр штока","Параметр:Код: Диапазон температур (W - с заполнением жидкостью / G - с заполнением газом).","Параметр:Код:Диаметр штока x Длина штока/Длина капиллярной трубки, мм","Параметр:Код:Микропереключатель","Параметр:Код:Длина штока (мм)"
,"ETS3000X-C-G(~100~+100)-10000mm-B-1-150-2","MNPT 3/4","10000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+100°С)","ø6ммx150мм<br>10000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+100)-10000mm-B-2-100-1","MNPT 3/4","10000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+100°С)","ø8ммx100мм<br>10000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+100)-10000mm-B-2-100-2","MNPT 3/4","10000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+100°С)","ø8ммx100мм<br>10000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+100)-10000mm-B-3-80-1","MNPT 3/4","10000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+100°С)","ø10ммx80мм<br>10000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+100)-10000mm-B-3-80-2","MNPT 3/4","10000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+100°С)","ø10ммx80мм<br>10000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+100)-10000mm-B-4-80-1","MNPT 3/4","10000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+100°С)","ø12ммx80мм<br>10000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+100)-10000mm-B-4-80-2","MNPT 3/4","10000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+100°С)","ø12ммx80мм<br>10000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+100)-11000mm-A-1-200-1","MNPT 1/2","11000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>11000мм","SPDTx1","200мм"
,"ETS3000X-C-G(~100~+100)-11000mm-A-1-200-2","MNPT 1/2","11000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>11000мм","SPDTx2","200мм"
,"ETS3000X-C-G(~100~+100)-11000mm-A-2-150-1","MNPT 1/2","11000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>11000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+100)-11000mm-A-2-150-2","MNPT 1/2","11000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>11000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+100)-11000mm-A-3-130-1","MNPT 1/2","11000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>11000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-11000mm-A-3-130-2","MNPT 1/2","11000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>11000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-11000mm-A-4-130-1","MNPT 1/2","11000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>11000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-11000mm-A-4-130-2","MNPT 1/2","11000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>11000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-11000mm-B-1-200-1","MNPT 3/4","11000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>11000мм","SPDTx1","200мм"
,"ETS3000X-C-G(~100~+100)-11000mm-B-1-200-2","MNPT 3/4","11000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>11000мм","SPDTx2","200мм"
,"ETS3000X-C-G(~100~+100)-11000mm-B-2-150-1","MNPT 3/4","11000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>11000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+100)-11000mm-B-2-150-2","MNPT 3/4","11000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>11000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+100)-11000mm-B-3-130-1","MNPT 3/4","11000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>11000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-11000mm-B-3-130-2","MNPT 3/4","11000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>11000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-11000mm-B-4-130-1","MNPT 3/4","11000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>11000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-11000mm-B-4-130-2","MNPT 3/4","11000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>11000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-12000mm-A-1-200-1","MNPT 1/2","12000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>12000мм","SPDTx1","200мм"
,"ETS3000X-C-G(~100~+100)-12000mm-A-1-200-2","MNPT 1/2","12000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>12000мм","SPDTx2","200мм"
,"ETS3000X-C-G(~100~+100)-12000mm-A-2-150-1","MNPT 1/2","12000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>12000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+100)-12000mm-A-2-150-2","MNPT 1/2","12000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>12000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+100)-12000mm-A-3-130-1","MNPT 1/2","12000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>12000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-12000mm-A-3-130-2","MNPT 1/2","12000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>12000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-12000mm-A-4-130-1","MNPT 1/2","12000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>12000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-12000mm-A-4-130-2","MNPT 1/2","12000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>12000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-12000mm-B-1-200-1","MNPT 3/4","12000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>12000мм","SPDTx1","200мм"
,"ETS3000X-C-G(~100~+100)-12000mm-B-1-200-2","MNPT 3/4","12000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>12000мм","SPDTx2","200мм"
,"ETS3000X-C-G(~100~+100)-12000mm-B-2-150-1","MNPT 3/4","12000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>12000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+100)-12000mm-B-2-150-2","MNPT 3/4","12000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>12000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+100)-12000mm-B-3-130-1","MNPT 3/4","12000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>12000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-12000mm-B-3-130-2","MNPT 3/4","12000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>12000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-12000mm-B-4-130-1","MNPT 3/4","12000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>12000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-12000mm-B-4-130-2","MNPT 3/4","12000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>12000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-13000mm-A-1-200-1","MNPT 1/2","13000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>13000мм","SPDTx1","200мм"
,"ETS3000X-C-G(~100~+100)-13000mm-A-1-200-2","MNPT 1/2","13000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>13000мм","SPDTx2","200мм"
,"ETS3000X-C-G(~100~+100)-13000mm-A-2-150-1","MNPT 1/2","13000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>13000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+100)-13000mm-A-2-150-2","MNPT 1/2","13000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>13000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+100)-13000mm-A-3-130-1","MNPT 1/2","13000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>13000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-13000mm-A-3-130-2","MNPT 1/2","13000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>13000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-13000mm-A-4-130-1","MNPT 1/2","13000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>13000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-13000mm-A-4-130-2","MNPT 1/2","13000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>13000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-13000mm-B-1-200-1","MNPT 3/4","13000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>13000мм","SPDTx1","200мм"
,"ETS3000X-C-G(~100~+100)-13000mm-B-1-200-2","MNPT 3/4","13000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>13000мм","SPDTx2","200мм"
,"ETS3000X-C-G(~100~+100)-13000mm-B-2-150-1","MNPT 3/4","13000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>13000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+100)-13000mm-B-2-150-2","MNPT 3/4","13000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>13000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+100)-13000mm-B-3-130-1","MNPT 3/4","13000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>13000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-13000mm-B-3-130-2","MNPT 3/4","13000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>13000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-13000mm-B-4-130-1","MNPT 3/4","13000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>13000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-13000mm-B-4-130-2","MNPT 3/4","13000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>13000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-14000mm-A-1-200-1","MNPT 1/2","14000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>14000мм","SPDTx1","200мм"
,"ETS3000X-C-G(~100~+100)-14000mm-A-1-200-2","MNPT 1/2","14000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>14000мм","SPDTx2","200мм"
,"ETS3000X-C-G(~100~+100)-14000mm-A-2-150-1","MNPT 1/2","14000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>14000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+100)-14000mm-A-2-150-2","MNPT 1/2","14000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>14000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+100)-14000mm-A-3-130-1","MNPT 1/2","14000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>14000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-14000mm-A-3-130-2","MNPT 1/2","14000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>14000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-14000mm-A-4-130-1","MNPT 1/2","14000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>14000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-14000mm-A-4-130-2","MNPT 1/2","14000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>14000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-14000mm-B-1-200-1","MNPT 3/4","14000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>14000мм","SPDTx1","200мм"
,"ETS3000X-C-G(~100~+100)-14000mm-B-1-200-2","MNPT 3/4","14000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>14000мм","SPDTx2","200мм"
,"ETS3000X-C-G(~100~+100)-14000mm-B-2-150-1","MNPT 3/4","14000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>14000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+100)-14000mm-B-2-150-2","MNPT 3/4","14000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>14000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+100)-14000mm-B-3-130-1","MNPT 3/4","14000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>14000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-14000mm-B-3-130-2","MNPT 3/4","14000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>14000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-14000mm-B-4-130-1","MNPT 3/4","14000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>14000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-14000mm-B-4-130-2","MNPT 3/4","14000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>14000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-15000mm-A-1-200-1","MNPT 1/2","15000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>15000мм","SPDTx1","200мм"
,"ETS3000X-C-G(~100~+100)-15000mm-A-1-200-2","MNPT 1/2","15000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>15000мм","SPDTx2","200мм"
,"ETS3000X-C-G(~100~+100)-15000mm-A-2-150-1","MNPT 1/2","15000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>15000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+100)-15000mm-A-2-150-2","MNPT 1/2","15000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>15000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+100)-15000mm-A-3-130-1","MNPT 1/2","15000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>15000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-15000mm-A-3-130-2","MNPT 1/2","15000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>15000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-15000mm-A-4-130-1","MNPT 1/2","15000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>15000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-15000mm-A-4-130-2","MNPT 1/2","15000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>15000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-15000mm-B-1-200-1","MNPT 3/4","15000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>15000мм","SPDTx1","200мм"
,"ETS3000X-C-G(~100~+100)-15000mm-B-1-200-2","MNPT 3/4","15000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+100°С)","ø6ммx200мм<br>15000мм","SPDTx2","200мм"
,"ETS3000X-C-G(~100~+100)-15000mm-B-2-150-1","MNPT 3/4","15000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>15000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+100)-15000mm-B-2-150-2","MNPT 3/4","15000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+100°С)","ø8ммx150мм<br>15000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+100)-15000mm-B-3-130-1","MNPT 3/4","15000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>15000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-15000mm-B-3-130-2","MNPT 3/4","15000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+100°С)","ø10ммx130мм<br>15000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+100)-15000mm-B-4-130-1","MNPT 3/4","15000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>15000мм","SPDTx1","130мм"
,"ETS3000X-C-G(~100~+100)-15000mm-B-4-130-2","MNPT 3/4","15000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+100°С)","ø12ммx130мм<br>15000мм","SPDTx2","130мм"
,"ETS3000X-C-G(~100~+150)-1000mm-A-1-150-1","MNPT 1/2","1000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>1000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-1000mm-A-1-150-2","MNPT 1/2","1000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>1000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-1000mm-A-2-100-1","MNPT 1/2","1000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>1000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-1000mm-A-2-100-2","MNPT 1/2","1000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>1000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-1000mm-A-3-80-1","MNPT 1/2","1000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>1000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-1000mm-A-3-80-2","MNPT 1/2","1000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>1000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-1000mm-A-4-80-1","MNPT 1/2","1000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>1000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-1000mm-A-4-80-2","MNPT 1/2","1000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>1000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-1000mm-B-1-150-1","MNPT 3/4","1000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>1000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-1000mm-B-1-150-2","MNPT 3/4","1000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>1000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-1000mm-B-2-100-1","MNPT 3/4","1000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>1000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-1000mm-B-2-100-2","MNPT 3/4","1000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>1000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-1000mm-B-3-80-1","MNPT 3/4","1000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>1000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-1000mm-B-3-80-2","MNPT 3/4","1000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>1000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-1000mm-B-4-80-1","MNPT 3/4","1000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>1000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-1000mm-B-4-80-2","MNPT 3/4","1000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>1000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-2000mm-A-1-150-1","MNPT 1/2","2000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>2000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-2000mm-A-1-150-2","MNPT 1/2","2000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>2000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-2000mm-A-2-100-1","MNPT 1/2","2000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>2000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-2000mm-A-2-100-2","MNPT 1/2","2000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>2000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-2000mm-A-3-80-1","MNPT 1/2","2000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>2000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-2000mm-A-3-80-2","MNPT 1/2","2000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>2000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-2000mm-A-4-80-1","MNPT 1/2","2000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>2000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-2000mm-A-4-80-2","MNPT 1/2","2000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>2000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-2000mm-B-1-150-1","MNPT 3/4","2000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>2000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-2000mm-B-1-150-2","MNPT 3/4","2000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>2000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-2000mm-B-2-100-1","MNPT 3/4","2000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>2000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-2000mm-B-2-100-2","MNPT 3/4","2000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>2000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-2000mm-B-3-80-1","MNPT 3/4","2000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>2000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-2000mm-B-3-80-2","MNPT 3/4","2000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>2000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-2000mm-B-4-80-1","MNPT 3/4","2000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>2000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-2000mm-B-4-80-2","MNPT 3/4","2000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>2000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-3000mm-A-1-150-1","MNPT 1/2","3000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>3000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-3000mm-A-1-150-2","MNPT 1/2","3000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>3000мм","SPDTx2","150мм"
,"ETS3000X-C-G(~100~+150)-3000mm-A-2-100-1","MNPT 1/2","3000мм","1 точка настройки SPDTx1","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>3000мм","SPDTx1","100мм"
,"ETS3000X-C-G(~100~+150)-3000mm-A-2-100-2","MNPT 1/2","3000мм","2 точки настройки SPDTx2","ø8мм","G(~100~+150°С)","ø8ммx100мм<br>3000мм","SPDTx2","100мм"
,"ETS3000X-C-G(~100~+150)-3000mm-A-3-80-1","MNPT 1/2","3000мм","1 точка настройки SPDTx1","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>3000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-3000mm-A-3-80-2","MNPT 1/2","3000мм","2 точки настройки SPDTx2","ø10мм","G(~100~+150°С)","ø10ммx80мм<br>3000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-3000mm-A-4-80-1","MNPT 1/2","3000мм","1 точка настройки SPDTx1","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>3000мм","SPDTx1","80мм"
,"ETS3000X-C-G(~100~+150)-3000mm-A-4-80-2","MNPT 1/2","3000мм","2 точки настройки SPDTx2","ø12мм","G(~100~+150°С)","ø12ммx80мм<br>3000мм","SPDTx2","80мм"
,"ETS3000X-C-G(~100~+150)-3000mm-B-1-150-1","MNPT 3/4","3000мм","1 точка настройки SPDTx1","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>3000мм","SPDTx1","150мм"
,"ETS3000X-C-G(~100~+150)-3000mm-B-1-150-2","MNPT 3/4","3000мм","2 точки настройки SPDTx2","ø6мм","G(~100~+150°С)","ø6ммx150мм<br>3000мм","SPDTx2","150мм"
