#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Фильтрующий элемент
,FT-F-8R-100-BRAS,RT 1/2 внутр.,BRAS,100 микрон
,FT-M-4N-100-BRAS,NPT 1/4 наруж.,BRAS,100 микрон
,FT-M-4R-100-BRAS,RT 1/4 наруж.,BRAS,100 микрон
,FT-H-3M-150,Hy-Lok 3mm,S316,150 микрон
,FT-H-6M-150,Hy-Lok 6mm,S316,150 микрон
,FT-H-8M-150,Hy-Lok 8mm,S316,150 микрон
,FT-H-10M-150,Hy-Lok 10mm,S316,150 микрон
,FT-H-12M-150,Hy-Lok 12mm,S316,150 микрон
,FT-H-2T-150,Hy-Lok 1/8,S316,150 микрон
,FT-H-4T-150,Hy-Lok 1/4,S316,150 микрон
,FT-H-6T-150,Hy-Lok 3/8,S316,150 микрон
,FT-H-8T-150,Hy-Lok 1/2,S316,150 микрон
,FT-F-2N-150,NPT 1/8 внутр.,S316,150 микрон
,FT-F-2R-150,RT 1/8 внутр.,S316,150 микрон
,FT-F-4N-150,NPT 1/4 внутр.,S316,150 микрон
,FT-F-4R-150,RT 1/4 внутр.,S316,150 микрон
,FT-F-6N-150,NPT 3/8 внутр.,S316,150 микрон
,FT-F-6R-150,RT 3/8 внутр.,S316,150 микрон
,FT-F-8N-150,NPT 1/2 внутр.,S316,150 микрон
,FT-F-8R-150,RT 1/2 внутр.,S316,150 микрон
,FT-M-4N-150,NPT 1/4 наруж.,S316,150 микрон
,FT-M-4R-150,RT 1/4 наруж.,S316,150 микрон
,FT-H-3M-150-BRAS,Hy-Lok 3mm,BRAS,150 микрон
,FT-H-6M-150-BRAS,Hy-Lok 6mm,BRAS,150 микрон
,FT-H-8M-150-BRAS,Hy-Lok 8mm,BRAS,150 микрон
,FT-H-10M-150-BRAS,Hy-Lok 10mm,BRAS,150 микрон
,FT-H-12M-150-BRAS,Hy-Lok 12mm,BRAS,150 микрон
,FT-H-2T-150-BRAS,Hy-Lok 1/8,BRAS,150 микрон
,FT-H-4T-150-BRAS,Hy-Lok 1/4,BRAS,150 микрон
,FT-H-6T-150-BRAS,Hy-Lok 3/8,BRAS,150 микрон
,FT-H-8T-150-BRAS,Hy-Lok 1/2,BRAS,150 микрон
,FT-F-2N-150-BRAS,NPT 1/8 внутр.,BRAS,150 микрон
,FT-F-2R-150-BRAS,RT 1/8 внутр.,BRAS,150 микрон
,FT-F-4N-150-BRAS,NPT 1/4 внутр.,BRAS,150 микрон
,FT-F-4R-150-BRAS,RT 1/4 внутр.,BRAS,150 микрон
,FT-F-6N-150-BRAS,NPT 3/8 внутр.,BRAS,150 микрон
,FT-F-6R-150-BRAS,RT 3/8 внутр.,BRAS,150 микрон
,FT-F-8N-150-BRAS,NPT 1/2 внутр.,BRAS,150 микрон
,FT-F-8R-150-BRAS,RT 1/2 внутр.,BRAS,150 микрон
,FT-M-4N-150-BRAS,NPT 1/4 наруж.,BRAS,150 микрон
,FT-M-4R-150-BRAS,RT 1/4 наруж.,BRAS,150 микрон
