,"Код","Параметр:Код:Подсоед. инструмента","Параметр:Код:Подсоед. к процессу","Параметр:Код:Материал верхней части корпуса","Параметр:Код:Диаметр мембраны","Параметр:Код:Материал нижней части корпуса","Параметр:Код:Материал мембраны"
,"DT123-D-B-4-G25-S-T-1","FNPT 3/8","Гост Py25 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-B-4-G25-S-T-2","FNPT 3/8","Гост Py25 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-B-4-G25-S-T-3","FNPT 3/8","Гост Py25 Dy40","SS316","ø45мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-D-C-5-1-S-T-1","FNPT 3/8","ANSI 150# 2","SS316","ø75мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-C-5-1-S-T-2","FNPT 3/8","ANSI 150# 2","SS316","ø75мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-C-5-1-S-T-3","FNPT 3/8","ANSI 150# 2","SS316","ø75мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-D-C-5-2-S-T-1","FNPT 3/8","ANSI 300# 2","SS316","ø75мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-C-5-2-S-T-2","FNPT 3/8","ANSI 300# 2","SS316","ø75мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-C-5-2-S-T-3","FNPT 3/8","ANSI 300# 2","SS316","ø75мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-D-C-5-G10-S-T-1","FNPT 3/8","Гост Py10 Dy50","SS316","ø75мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-C-5-G10-S-T-2","FNPT 3/8","Гост Py10 Dy50","SS316","ø75мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-C-5-G10-S-T-3","FNPT 3/8","Гост Py10 Dy50","SS316","ø75мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-D-C-5-G16-S-T-1","FNPT 3/8","Гост Py16 Dy50","SS316","ø75мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-C-5-G16-S-T-2","FNPT 3/8","Гост Py16 Dy50","SS316","ø75мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-C-5-G16-S-T-3","FNPT 3/8","Гост Py16 Dy50","SS316","ø75мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-D-C-5-G25-S-T-1","FNPT 3/8","Гост Py25 Dy50","SS316","ø75мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-C-5-G25-S-T-2","FNPT 3/8","Гост Py25 Dy50","SS316","ø75мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-C-5-G25-S-T-3","FNPT 3/8","Гост Py25 Dy50","SS316","ø75мм","SS316+Тефлоновое покрытие","Танталум"
,"DT123-D-C-6-1-S-T-1","FNPT 3/8","ANSI 150# 3","SS316","ø75мм","SS316+Тефлоновое покрытие","SS316L"
,"DT123-D-C-6-1-S-T-2","FNPT 3/8","ANSI 150# 3","SS316","ø75мм","SS316+Тефлоновое покрытие","Хастеллой C276"
,"DT123-D-C-6-1-S-T-3","FNPT 3/8","ANSI 150# 3","SS316","ø75мм","SS316+Тефлоновое покрытие","Танталум"
