#,Заказной код,Параметр:Заказной код:Давление,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Размер шкалы,Параметр:Заказной код:Материал мембраны,Параметр:Заказной код:Материал нижней секции мембраны,Параметр:Заказной код:Заполнение глицерином,Параметр:Заказной код:Поверка
,GD-32-S-L-S-8G-100A-V70psi,от -14.5 до 70psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-8G-100A-V130psi,от -14.5 до 130psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-8G-100A-V200psi,от -14.5 до 200psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-8G-100A-V350psi,от -14.5 до 350psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-20M-100A-V0psi,от -14.5 до 0psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-20M-100A-V8psi,от -14.5 до 8psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-20M-100A-V20psi,от -14.5 до 20psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-20M-100A-V40psi,от -14.5 до 40psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-20M-100A-V70psi,от -14.5 до 70psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-20M-100A-V130psi,от -14.5 до 130psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-20M-100A-V200psi,от -14.5 до 200psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-20M-100A-V350psi,от -14.5 до 350psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-8N-100A-V0psi,от -14.5 до 0psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-8N-100A-V8psi,от -14.5 до 8psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-8N-100A-V20psi,от -14.5 до 20psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-8N-100A-V40psi,от -14.5 до 40psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-8N-100A-V70psi,от -14.5 до 70psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-8N-100A-V130psi,от -14.5 до 130psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-8N-100A-V200psi,от -14.5 до 200psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-8N-100A-V350psi,от -14.5 до 350psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,"GD-32-S-L-S-8G-100A-0,6bar-VE",от 0 до 0.6бар,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-1bar-VE,от 0 до 1бар,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-8G-100A-1,6bar-VE",от 0 до 1.6бар,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-8G-100A-2,5bar-VE",от 0 до 2.5бар,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-4bar-VE,от 0 до 4бар,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-6bar-VE,от 0 до 6бар,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-10bar-VE,от 0 до 10бар,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-16bar-VE,от 0 до 16бар,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-25bar-VE,от 0 до 25бар,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-40bar-VE,от 0 до 40бар,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-60bar-VE,от 0 до 60бар,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-100bar-VE,от 0 до 100бар,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-160bar-VE,от 0 до 160бар,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-250bar-VE,от 0 до 250бар,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-400bar-VE,от 0 до 400бар,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-20M-100A-0,6bar-VE",от 0 до 0.6бар,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-1bar-VE,от 0 до 1бар,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-20M-100A-1,6bar-VE",от 0 до 1.6бар,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-20M-100A-2,5bar-VE",от 0 до 2.5бар,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-4bar-VE,от 0 до 4бар,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-6bar-VE,от 0 до 6бар,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-10bar-VE,от 0 до 10бар,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-16bar-VE,от 0 до 16бар,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-25bar-VE,от 0 до 25бар,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-40bar-VE,от 0 до 40бар,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-60bar-VE,от 0 до 60бар,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-100bar-VE,от 0 до 100бар,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-160bar-VE,от 0 до 160бар,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-250bar-VE,от 0 до 250бар,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-400bar-VE,от 0 до 400бар,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-8N-100A-0,6bar-VE",от 0 до 0.6бар,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-1bar-VE,от 0 до 1бар,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-8N-100A-1,6bar-VE",от 0 до 1.6бар,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-8N-100A-2,5bar-VE",от 0 до 2.5бар,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-4bar-VE,от 0 до 4бар,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-6bar-VE,от 0 до 6бар,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-10bar-VE,от 0 до 10бар,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-16bar-VE,от 0 до 16бар,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-25bar-VE,от 0 до 25бар,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-40bar-VE,от 0 до 40бар,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-60bar-VE,от 0 до 60бар,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-100bar-VE,от 0 до 100бар,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-160bar-VE,от 0 до 160бар,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-250bar-VE,от 0 до 250бар,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-400bar-VE,от 0 до 400бар,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-60kPa-VE,от 0 до 60кПа,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-100kPa-VE,от 0 до 100кПа,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-160kPa-VE,от 0 до 160кПа,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-250kPa-VE,от 0 до 250кПа,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-400kPa-VE,от 0 до 400кПа,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-600kPa-VE,от 0 до 600кПа,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-1Mpa-VE,от 0 до 1МПа,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-8G-100A-1,6MPa-VE",от 0 до 1.6МПа,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-8G-100A-2,5MPa-VE",от 0 до 2.5МПа,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-4MPa-VE,от 0 до 4МПа,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-6MPa-VE,от 0 до 6МПа,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-10MPa-VE,от 0 до 10МПа,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-16MPa-VE,от 0 до 16МПа,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-25MPa-VE,от 0 до 25МПа,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-40MPa-VE,от 0 до 40МПа,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-60kPa-VE,от 0 до 60кПа,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-100kPa-VE,от 0 до 100кПа,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-160kPa-VE,от 0 до 160кПа,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-250kPa-VE,от 0 до 250кПа,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-400kPa-VE,от 0 до 400кПа,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-600kPa-VE,от 0 до 600кПа,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-1Mpa-VE,от 0 до 1МПа,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-20M-100A-1,6MPa-VE",от 0 до 1.6МПа,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-20M-100A-2,5MPa-VE",от 0 до 2.5МПа,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-4MPa-VE,от 0 до 4МПа,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-6MPa-VE,от 0 до 6МПа,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-10MPa-VE,от 0 до 10МПа,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-16MPa-VE,от 0 до 16МПа,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-25MPa-VE,от 0 до 25МПа,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-40MPa-VE,от 0 до 40МПа,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-60kPa-VE,от 0 до 60кПа,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-100kPa-VE,от 0 до 100кПа,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-160kPa-VE,от 0 до 160кПа,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-250kPa-VE,от 0 до 250кПа,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-400kPa-VE,от 0 до 400кПа,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-600kPa-VE,от 0 до 600кПа,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-1Mpa-VE,от 0 до 1МПа,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-8N-100A-1,6MPa-VE",от 0 до 1.6МПа,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-8N-100A-2,5MPa-VE",от 0 до 2.5МПа,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-4MPa-VE,от 0 до 4МПа,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-6MPa-VE,от 0 до 6МПа,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-10MPa-VE,от 0 до 10МПа,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-16MPa-VE,от 0 до 16МПа,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-25MPa-VE,от 0 до 25МПа,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-40MPa-VE,от 0 до 40МПа,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-8psi-VE,от 0 до 8psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-15psi-VE,от 0 до 15psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-23psi-VE,от 0 до 23psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-35psi-VE,от 0 до 35psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-60psi-VE,от 0 до 6psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-85psi-VE,от 0 до 85psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-150psi-VE,от 0 до 150psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-230psi-VE,от 0 до 230psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-350psi-VE,от 0 до 350psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-600psi-VE,от 0 до 600psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-850psi-VE,от 0 до 850psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-1500psi-VE,от 0 до 1500psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-2300psi-VE,от 0 до 2300psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-3500psi-VE,от 0 до 3500psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8G-100A-6000psi-VE,от 0 до 6000psi,G 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-8psi-VE,от 0 до 8psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-15psi-VE,от 0 до 15psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-23psi-VE,от 0 до 23psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-35psi-VE,от 0 до 35psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-60psi-VE,от 0 до 6psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-85psi-VE,от 0 до 85psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-150psi-VE,от 0 до 150psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-230psi-VE,от 0 до 230psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-350psi-VE,от 0 до 350psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-600psi-VE,от 0 до 600psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-850psi-VE,от 0 до 850psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-1500psi-VE,от 0 до 1500psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-2300psi-VE,от 0 до 2300psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-3500psi-VE,от 0 до 3500psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-20M-100A-6000psi-VE,от 0 до 6000psi,M20x1.5,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-8psi-VE,от 0 до 8psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-15psi-VE,от 0 до 15psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-23psi-VE,от 0 до 23psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-35psi-VE,от 0 до 35psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-60psi-VE,от 0 до 6psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-85psi-VE,от 0 до 85psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-150psi-VE,от 0 до 150psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-230psi-VE,от 0 до 230psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-350psi-VE,от 0 до 350psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-600psi-VE,от 0 до 600psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-8N-100A-850psi-VE,от 0 до 850psi,NPT 1/2,Нержавеющая сталь,100мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
