"#","Код","Параметр:Код:Давление","Параметр:Код:Подсоединение","Параметр:Код:Размер шкалы","Параметр:Код:Конфигурация","Параметр:Код:Поверка"
,"G43-S-8N-150A-40kPa-VE","от 0 до 40кПа","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-60kPa-VE","от 0 до 60кПа","NPT 1/2","150мм","A","да"
,"G43-S-20M-100A-1.6kPa-VE","от 0 до 1.6кПа","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-2.5kPa-VE","от 0 до 2.5кПа","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-4kPa-VE","от 0 до 4кПа","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-6kPa-VE","от 0 до 6кПа","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-10kPa-VE","от 0 до 10кПа","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-16kPa-VE","от 0 до 16кПа","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-25kPa-VE","от 0 до 25кПа","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-40kPa-VE","от 0 до 40кПа","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-60kPa-VE","от 0 до 60кПа","M20x1.5","100мм","A","да"
,"G43-S-20M-150A-1.6kPa-VE","от 0 до 1.6кПа","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-2.5kPa-VE","от 0 до 2.5кПа","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-4kPa-VE","от 0 до 4кПа","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-6kPa-VE","от 0 до 6кПа","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-10kPa-VE","от 0 до 10кПа","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-16kPa-VE","от 0 до 16кПа","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-25kPa-VE","от 0 до 25кПа","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-40kPa-VE","от 0 до 40кПа","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-60kPa-VE","от 0 до 60кПа","M20x1.5","150мм","A","да"
,"G43-S-8G-100A-V600mbar-VE","от -600 до 0мбар","G 1/2","100мм","A","да"
,"G43-S-8G-100A-V400mbar-VE","от -400 до 0мбар","G 1/2","100мм","A","да"
,"G43-S-8G-100A-V250mbar-VE","от -250 до 0мбар","G 1/2","100мм","A","да"
,"G43-S-8G-100A-V160mbar-VE","от -160 до 0мбар","G 1/2","100мм","A","да"
,"G43-S-8G-100A-V100mbar-VE","от -100 до 0мбар","G 1/2","100мм","A","да"
,"G43-S-8G-100A-V60mbar-VE","от -60 до 0мбар","G 1/2","100мм","A","да"
,"G43-S-8G-100A-V25mbar-VE","от -25 до 0мбар","G 1/2","100мм","A","да"
,"G43-S-8G-100A-V16mbar-VE","от -16 до 0мбар","G 1/2","100мм","A","да"
,"G43-S-8G-150A-V600mbar-VE","от -600 до 0мбар","G 1/2","150мм","A","да"
,"G43-S-8G-150A-V400mbar-VE","от -400 до 0мбар","G 1/2","150мм","A","да"
,"G43-S-8G-150A-V250mbar-VE","от -250 до 0мбар","G 1/2","150мм","A","да"
,"G43-S-8G-150A-V160mbar-VE","от -160 до 0мбар","G 1/2","150мм","A","да"
,"G43-S-8G-150A-V100mbar-VE","от -100 до 0мбар","G 1/2","150мм","A","да"
,"G43-S-8G-150A-V60mbar-VE","от -60 до 0мбар","G 1/2","150мм","A","да"
,"G43-S-8G-150A-V25mbar-VE","от -25 до 0мбар","G 1/2","150мм","A","да"
,"G43-S-8G-150A-V16mbar-VE","от -16 до 0мбар","G 1/2","150мм","A","да"
,"G43-S-8N-100A-V600mbar-VE","от -600 до 0мбар","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-V400mbar-VE","от -400 до 0мбар","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-V250mbar-VE","от -250 до 0мбар","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-V160mbar-VE","от -160 до 0мбар","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-V100mbar-VE","от -100 до 0мбар","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-V60mbar-VE","от -60 до 0мбар","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-V25mbar-VE","от -25 до 0мбар","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-V16mbar-VE","от -16 до 0мбар","NPT 1/2","100мм","A","да"
,"G43-S-8N-150A-V600mbar-VE","от -600 до 0мбар","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-V400mbar-VE","от -400 до 0мбар","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-V250mbar-VE","от -250 до 0мбар","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-V160mbar-VE","от -160 до 0мбар","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-V100mbar-VE","от -100 до 0мбар","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-V60mbar-VE","от -60 до 0мбар","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-V25mbar-VE","от -25 до 0мбар","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-V16mbar-VE","от -16 до 0мбар","NPT 1/2","150мм","A","да"
,"G43-S-20M-100A-V600mbar-VE","от -600 до 0мбар","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-V400mbar-VE","от -400 до 0мбар","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-V250mbar-VE","от -250 до 0мбар","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-V160mbar-VE","от -160 до 0мбар","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-V100mbar-VE","от -100 до 0мбар","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-V60mbar-VE","от -60 до 0мбар","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-V25mbar-VE","от -25 до 0мбар","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-V16mbar-VE","от -16 до 0мбар","M20x1.5","100мм","A","да"
,"G43-S-20M-150A-V600mbar-VE","от -600 до 0мбар","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-V400mbar-VE","от -400 до 0мбар","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-V250mbar-VE","от -250 до 0мбар","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-V160mbar-VE","от -160 до 0мбар","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-V100mbar-VE","от -100 до 0мбар","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-V60mbar-VE","от -60 до 0мбар","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-V25mbar-VE","от -25 до 0мбар","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-V16mbar-VE","от -16 до 0мбар","M20x1.5","150мм","A","да"
,"G43-S-8G-100A-V60kPa-VE","от -60 до 0кПа","G 1/2","100мм","A","да"
,"G43-S-8G-100A-V40kPa-VE","от -40 до 0кПа","G 1/2","100мм","A","да"
,"G43-S-8G-100A-V25kPa-VE","от -25 до 0кПа","G 1/2","100мм","A","да"
,"G43-S-8G-100A-V16kPa-VE","от -16 до 0кПа","G 1/2","100мм","A","да"
,"G43-S-8G-100A-V10kPa-VE","от -10 до 0кПа","G 1/2","100мм","A","да"
,"G43-S-8G-100A-V6kPa-VE","от -6 до 0кПа","G 1/2","100мм","A","да"
,"G43-S-8G-100A-V2.5kPa-VE","от -2.5 до 0кПа","G 1/2","100мм","A","да"
,"G43-S-8G-100A-V1.6kPa-VE","от -1.6 до 0кПа","G 1/2","100мм","A","да"
,"G43-S-8G-150A-V60kPa-VE","от -60 до 0кПа","G 1/2","150мм","A","да"
,"G43-S-8G-150A-V40kPa-VE","от -40 до 0кПа","G 1/2","150мм","A","да"
,"G43-S-8G-150A-V25kPa-VE","от -25 до 0кПа","G 1/2","150мм","A","да"
,"G43-S-8G-150A-V16kPa-VE","от -16 до 0кПа","G 1/2","150мм","A","да"
,"G43-S-8G-150A-V10kPa-VE","от -10 до 0кПа","G 1/2","150мм","A","да"
,"G43-S-8G-150A-V6kPa-VE","от -6 до 0кПа","G 1/2","150мм","A","да"
,"G43-S-8G-150A-V2.5kPa-VE","от -2.5 до 0кПа","G 1/2","150мм","A","да"
,"G43-S-8G-150A-V1.6kPa-VE","от -1.6 до 0кПа","G 1/2","150мм","A","да"
,"G43-S-8N-100A-V60kPa-VE","от -60 до 0кПа","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-V40kPa-VE","от -40 до 0кПа","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-V25kPa-VE","от -25 до 0кПа","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-V16kPa-VE","от -16 до 0кПа","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-V10kPa-VE","от -10 до 0кПа","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-V6kPa-VE","от -6 до 0кПа","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-V2.5kPa-VE","от -2.5 до 0кПа","NPT 1/2","100мм","A","да"
,"G43-S-8N-100A-V1.6kPa-VE","от -1.6 до 0кПа","NPT 1/2","100мм","A","да"
,"G43-S-8N-150A-V60kPa-VE","от -60 до 0кПа","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-V40kPa-VE","от -40 до 0кПа","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-V25kPa-VE","от -25 до 0кПа","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-V16kPa-VE","от -16 до 0кПа","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-V10kPa-VE","от -10 до 0кПа","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-V6kPa-VE","от -6 до 0кПа","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-V2.5kPa-VE","от -2.5 до 0кПа","NPT 1/2","150мм","A","да"
,"G43-S-8N-150A-V1.6kPa-VE","от -1.6 до 0кПа","NPT 1/2","150мм","A","да"
,"G43-S-20M-100A-V60kPa-VE","от -60 до 0кПа","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-V40kPa-VE","от -40 до 0кПа","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-V25kPa-VE","от -25 до 0кПа","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-V16kPa-VE","от -16 до 0кПа","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-V10kPa-VE","от -10 до 0кПа","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-V6kPa-VE","от -6 до 0кПа","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-V2.5kPa-VE","от -2.5 до 0кПа","M20x1.5","100мм","A","да"
,"G43-S-20M-100A-V1.6kPa-VE","от -1.6 до 0кПа","M20x1.5","100мм","A","да"
,"G43-S-20M-150A-V60kPa-VE","от -60 до 0кПа","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-V40kPa-VE","от -40 до 0кПа","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-V25kPa-VE","от -25 до 0кПа","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-V16kPa-VE","от -16 до 0кПа","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-V10kPa-VE","от -10 до 0кПа","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-V6kPa-VE","от -6 до 0кПа","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-V2.5kPa-VE","от -2.5 до 0кПа","M20x1.5","150мм","A","да"
,"G43-S-20M-150A-V1.6kPa-VE","от -1.6 до 0кПа","M20x1.5","150мм","A","да"
