"#","Код","Параметр:Код:Давление","Параметр:Код:Подсоединение","Параметр:Код:Размер шкалы","Параметр:Код:Поверка","Параметр:Код:Конфигурация"
,"G10-C-4N-63A-V8psi","от -14.5 до 8psi","NPT 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4N-63A-V20psi","от -14.5 до 20psi","NPT 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4N-63A-V40psi","от -14.5 до 40psi","NPT 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4N-63A-V70psi","от -14.5 до 70psi","NPT 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4N-63A-V130psi","от -14.5 до 130psi","NPT 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4N-63A-V200psi","от -14.5 до 200psi","NPT 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4N-63A-V350psi","от -14.5 до 350psi","NPT 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-100A-V0psi","от -14.5 до 0psi","NPT 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-100A-V8psi","от -14.5 до 8psi","NPT 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-100A-V20psi","от -14.5 до 20psi","NPT 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-100A-V40psi","от -14.5 до 40psi","NPT 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-100A-V70psi","от -14.5 до 70psi","NPT 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-100A-V130psi","от -14.5 до 130psi","NPT 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-100A-V200psi","от -14.5 до 200psi","NPT 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-100A-V350psi","от -14.5 до 350psi","NPT 1/2","100мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-150A-V0psi","от -14.5 до 0psi","NPT 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-150A-V8psi","от -14.5 до 8psi","NPT 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-150A-V20psi","от -14.5 до 20psi","NPT 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-150A-V40psi","от -14.5 до 40psi","NPT 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-150A-V70psi","от -14.5 до 70psi","NPT 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-150A-V130psi","от -14.5 до 130psi","NPT 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-150A-V200psi","от -14.5 до 200psi","NPT 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-150A-V350psi","от -14.5 до 350psi","NPT 1/2","150мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-250A-V0psi","от -14.5 до 0psi","NPT 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-250A-V8psi","от -14.5 до 8psi","NPT 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-250A-V20psi","от -14.5 до 20psi","NPT 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-250A-V40psi","от -14.5 до 40psi","NPT 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-250A-V70psi","от -14.5 до 70psi","NPT 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-250A-V130psi","от -14.5 до 130psi","NPT 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-250A-V200psi","от -14.5 до 200psi","NPT 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-8N-250A-V350psi","от -14.5 до 350psi","NPT 1/2","250мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-2N-40B-V0psi","от -14.5 до 0psi","NPT 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2N-40B-V8psi","от -14.5 до 8psi","NPT 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2N-40B-V20psi","от -14.5 до 20psi","NPT 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2N-40B-V40psi","от -14.5 до 40psi","NPT 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2N-40B-V70psi","от -14.5 до 70psi","NPT 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2N-40B-V130psi","от -14.5 до 130psi","NPT 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2N-40B-V200psi","от -14.5 до 200psi","NPT 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2N-40B-V350psi","от -14.5 до 350psi","NPT 1/8","40мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4N-50B-V0psi","от -14.5 до 0psi","NPT 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4N-50B-V8psi","от -14.5 до 8psi","NPT 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4N-50B-V20psi","от -14.5 до 20psi","NPT 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4N-50B-V40psi","от -14.5 до 40psi","NPT 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4N-50B-V70psi","от -14.5 до 70psi","NPT 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4N-50B-V130psi","от -14.5 до 130psi","NPT 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4N-50B-V200psi","от -14.5 до 200psi","NPT 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4N-50B-V350psi","от -14.5 до 350psi","NPT 1/4","50мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4N-63B-V0psi","от -14.5 до 0psi","NPT 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4N-63B-V8psi","от -14.5 до 8psi","NPT 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4N-63B-V20psi","от -14.5 до 20psi","NPT 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4N-63B-V40psi","от -14.5 до 40psi","NPT 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4N-63B-V70psi","от -14.5 до 70psi","NPT 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4N-63B-V130psi","от -14.5 до 130psi","NPT 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4N-63B-V200psi","от -14.5 до 200psi","NPT 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-4N-63B-V350psi","от -14.5 до 350psi","NPT 1/4","63мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-100B-V0psi","от -14.5 до 0psi","NPT 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-100B-V8psi","от -14.5 до 8psi","NPT 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-100B-V20psi","от -14.5 до 20psi","NPT 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-100B-V40psi","от -14.5 до 40psi","NPT 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-100B-V70psi","от -14.5 до 70psi","NPT 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-100B-V130psi","от -14.5 до 130psi","NPT 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-100B-V200psi","от -14.5 до 200psi","NPT 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-100B-V350psi","от -14.5 до 350psi","NPT 1/2","100мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-150B-V0psi","от -14.5 до 0psi","NPT 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-150B-V8psi","от -14.5 до 8psi","NPT 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-150B-V20psi","от -14.5 до 20psi","NPT 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-150B-V40psi","от -14.5 до 40psi","NPT 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-150B-V70psi","от -14.5 до 70psi","NPT 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-150B-V130psi","от -14.5 до 130psi","NPT 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-150B-V200psi","от -14.5 до 200psi","NPT 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-150B-V350psi","от -14.5 до 350psi","NPT 1/2","150мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-250B-V0psi","от -14.5 до 0psi","NPT 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-250B-V8psi","от -14.5 до 8psi","NPT 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-250B-V20psi","от -14.5 до 20psi","NPT 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-250B-V40psi","от -14.5 до 40psi","NPT 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-250B-V70psi","от -14.5 до 70psi","NPT 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-250B-V130psi","от -14.5 до 130psi","NPT 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-250B-V200psi","от -14.5 до 200psi","NPT 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-8N-250B-V350psi","от -14.5 до 350psi","NPT 1/2","250мм","нет","<img src=assets/inventory/B.png>"
,"G10-C-2G-40A-0,6bar-VE","от 0 до 0.6бар","G 1/8","40мм","да","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-1bar-VE","от 0 до 1бар","G 1/8","40мм","да","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-1,6bar-VE","от 0 до 1.6бар","G 1/8","40мм","да","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-2,5bar-VE","от 0 до 2.5бар","G 1/8","40мм","да","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-4bar-VE","от 0 до 4бар","G 1/8","40мм","да","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-6bar-VE","от 0 до 6бар","G 1/8","40мм","да","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-10bar-VE","от 0 до 10бар","G 1/8","40мм","да","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-16bar-VE","от 0 до 16бар","G 1/8","40мм","да","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-25bar-VE","от 0 до 25бар","G 1/8","40мм","да","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-40bar-VE","от 0 до 40бар","G 1/8","40мм","да","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-60bar-VE","от 0 до 60бар","G 1/8","40мм","да","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-100bar-VE","от 0 до 100бар","G 1/8","40мм","да","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-160bar-VE","от 0 до 160бар","G 1/8","40мм","да","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-250bar-VE","от 0 до 250бар","G 1/8","40мм","да","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-400bar-VE","от 0 до 400бар","G 1/8","40мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-0,6bar-VE","от 0 до 0.6бар","G 1/4","50мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-1bar-VE","от 0 до 1бар","G 1/4","50мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-1,6bar-VE","от 0 до 1.6бар","G 1/4","50мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-2,5bar-VE","от 0 до 2.5бар","G 1/4","50мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-4bar-VE","от 0 до 4бар","G 1/4","50мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-6bar-VE","от 0 до 6бар","G 1/4","50мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-10bar-VE","от 0 до 10бар","G 1/4","50мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-16bar-VE","от 0 до 16бар","G 1/4","50мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-25bar-VE","от 0 до 25бар","G 1/4","50мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-40bar-VE","от 0 до 40бар","G 1/4","50мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-60bar-VE","от 0 до 60бар","G 1/4","50мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-100bar-VE","от 0 до 100бар","G 1/4","50мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-160bar-VE","от 0 до 160бар","G 1/4","50мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-250bar-VE","от 0 до 250бар","G 1/4","50мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-400bar-VE","от 0 до 400бар","G 1/4","50мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-0,6bar-VE","от 0 до 0.6бар","G 1/4","63мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-1bar-VE","от 0 до 1бар","G 1/4","63мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-1,6bar-VE","от 0 до 1.6бар","G 1/4","63мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-2,5bar-VE","от 0 до 2.5бар","G 1/4","63мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-4bar-VE","от 0 до 4бар","G 1/4","63мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-6bar-VE","от 0 до 6бар","G 1/4","63мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-10bar-VE","от 0 до 10бар","G 1/4","63мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-16bar-VE","от 0 до 16бар","G 1/4","63мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-25bar-VE","от 0 до 25бар","G 1/4","63мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-40bar-VE","от 0 до 40бар","G 1/4","63мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-60bar-VE","от 0 до 60бар","G 1/4","63мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-100bar-VE","от 0 до 100бар","G 1/4","63мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-160bar-VE","от 0 до 160бар","G 1/4","63мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-250bar-VE","от 0 до 250бар","G 1/4","63мм","да","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-400bar-VE","от 0 до 400бар","G 1/4","63мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-0,6bar-VE","от 0 до 0.6бар","G 1/2","100мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-1bar-VE","от 0 до 1бар","G 1/2","100мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-1,6bar-VE","от 0 до 1.6бар","G 1/2","100мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-2,5bar-VE","от 0 до 2.5бар","G 1/2","100мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-4bar-VE","от 0 до 4бар","G 1/2","100мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-6bar-VE","от 0 до 6бар","G 1/2","100мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-10bar-VE","от 0 до 10бар","G 1/2","100мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-16bar-VE","от 0 до 16бар","G 1/2","100мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-25bar-VE","от 0 до 25бар","G 1/2","100мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-40bar-VE","от 0 до 40бар","G 1/2","100мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-60bar-VE","от 0 до 60бар","G 1/2","100мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-100bar-VE","от 0 до 100бар","G 1/2","100мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-160bar-VE","от 0 до 160бар","G 1/2","100мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-250bar-VE","от 0 до 250бар","G 1/2","100мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-100A-400bar-VE","от 0 до 400бар","G 1/2","100мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-0,6bar-VE","от 0 до 0.6бар","G 1/2","150мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-1bar-VE","от 0 до 1бар","G 1/2","150мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-1,6bar-VE","от 0 до 1.6бар","G 1/2","150мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-2,5bar-VE","от 0 до 2.5бар","G 1/2","150мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-4bar-VE","от 0 до 4бар","G 1/2","150мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-6bar-VE","от 0 до 6бар","G 1/2","150мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-10bar-VE","от 0 до 10бар","G 1/2","150мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-16bar-VE","от 0 до 16бар","G 1/2","150мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-25bar-VE","от 0 до 25бар","G 1/2","150мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-40bar-VE","от 0 до 40бар","G 1/2","150мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-60bar-VE","от 0 до 60бар","G 1/2","150мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-100bar-VE","от 0 до 100бар","G 1/2","150мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-160bar-VE","от 0 до 160бар","G 1/2","150мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-250bar-VE","от 0 до 250бар","G 1/2","150мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-150A-400bar-VE","от 0 до 400бар","G 1/2","150мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-0,6bar-VE","от 0 до 0.6бар","G 1/2","250мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-1bar-VE","от 0 до 1бар","G 1/2","250мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-1,6bar-VE","от 0 до 1.6бар","G 1/2","250мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-2,5bar-VE","от 0 до 2.5бар","G 1/2","250мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-4bar-VE","от 0 до 4бар","G 1/2","250мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-6bar-VE","от 0 до 6бар","G 1/2","250мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-10bar-VE","от 0 до 10бар","G 1/2","250мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-16bar-VE","от 0 до 16бар","G 1/2","250мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-25bar-VE","от 0 до 25бар","G 1/2","250мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-40bar-VE","от 0 до 40бар","G 1/2","250мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-60bar-VE","от 0 до 60бар","G 1/2","250мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-100bar-VE","от 0 до 100бар","G 1/2","250мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-160bar-VE","от 0 до 160бар","G 1/2","250мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-250bar-VE","от 0 до 250бар","G 1/2","250мм","да","<img src=assets/inventory/A.png>"
,"G10-C-8G-250A-400bar-VE","от 0 до 400бар","G 1/2","250мм","да","<img src=assets/inventory/A.png>"
,"G10-C-2G-40B-0,6bar-VE","от 0 до 0.6бар","G 1/8","40мм","да","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-1bar-VE","от 0 до 1бар","G 1/8","40мм","да","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-1,6bar-VE","от 0 до 1.6бар","G 1/8","40мм","да","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-2,5bar-VE","от 0 до 2.5бар","G 1/8","40мм","да","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-4bar-VE","от 0 до 4бар","G 1/8","40мм","да","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-6bar-VE","от 0 до 6бар","G 1/8","40мм","да","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-10bar-VE","от 0 до 10бар","G 1/8","40мм","да","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-16bar-VE","от 0 до 16бар","G 1/8","40мм","да","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-25bar-VE","от 0 до 25бар","G 1/8","40мм","да","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-40bar-VE","от 0 до 40бар","G 1/8","40мм","да","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-60bar-VE","от 0 до 60бар","G 1/8","40мм","да","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-100bar-VE","от 0 до 100бар","G 1/8","40мм","да","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-160bar-VE","от 0 до 160бар","G 1/8","40мм","да","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-250bar-VE","от 0 до 250бар","G 1/8","40мм","да","<img src=assets/inventory/B.png>"
,"G10-C-2G-40B-400bar-VE","от 0 до 400бар","G 1/8","40мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-0,6bar-VE","от 0 до 0.6бар","G 1/4","50мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-1bar-VE","от 0 до 1бар","G 1/4","50мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-1,6bar-VE","от 0 до 1.6бар","G 1/4","50мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-2,5bar-VE","от 0 до 2.5бар","G 1/4","50мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-4bar-VE","от 0 до 4бар","G 1/4","50мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-6bar-VE","от 0 до 6бар","G 1/4","50мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-10bar-VE","от 0 до 10бар","G 1/4","50мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-16bar-VE","от 0 до 16бар","G 1/4","50мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-25bar-VE","от 0 до 25бар","G 1/4","50мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-40bar-VE","от 0 до 40бар","G 1/4","50мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-60bar-VE","от 0 до 60бар","G 1/4","50мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-100bar-VE","от 0 до 100бар","G 1/4","50мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-160bar-VE","от 0 до 160бар","G 1/4","50мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-250bar-VE","от 0 до 250бар","G 1/4","50мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-50B-400bar-VE","от 0 до 400бар","G 1/4","50мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-0,6bar-VE","от 0 до 0.6бар","G 1/4","63мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-1bar-VE","от 0 до 1бар","G 1/4","63мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-1,6bar-VE","от 0 до 1.6бар","G 1/4","63мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-2,5bar-VE","от 0 до 2.5бар","G 1/4","63мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-4bar-VE","от 0 до 4бар","G 1/4","63мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-6bar-VE","от 0 до 6бар","G 1/4","63мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-10bar-VE","от 0 до 10бар","G 1/4","63мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-16bar-VE","от 0 до 16бар","G 1/4","63мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-25bar-VE","от 0 до 25бар","G 1/4","63мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-40bar-VE","от 0 до 40бар","G 1/4","63мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-60bar-VE","от 0 до 60бар","G 1/4","63мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-100bar-VE","от 0 до 100бар","G 1/4","63мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-160bar-VE","от 0 до 160бар","G 1/4","63мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-250bar-VE","от 0 до 250бар","G 1/4","63мм","да","<img src=assets/inventory/B.png>"
,"G10-C-4G-63B-400bar-VE","от 0 до 400бар","G 1/4","63мм","да","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-0,6bar-VE","от 0 до 0.6бар","G 1/2","100мм","да","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-1bar-VE","от 0 до 1бар","G 1/2","100мм","да","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-1,6bar-VE","от 0 до 1.6бар","G 1/2","100мм","да","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-2,5bar-VE","от 0 до 2.5бар","G 1/2","100мм","да","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-4bar-VE","от 0 до 4бар","G 1/2","100мм","да","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-6bar-VE","от 0 до 6бар","G 1/2","100мм","да","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-10bar-VE","от 0 до 10бар","G 1/2","100мм","да","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-16bar-VE","от 0 до 16бар","G 1/2","100мм","да","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-25bar-VE","от 0 до 25бар","G 1/2","100мм","да","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-40bar-VE","от 0 до 40бар","G 1/2","100мм","да","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-60bar-VE","от 0 до 60бар","G 1/2","100мм","да","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-100bar-VE","от 0 до 100бар","G 1/2","100мм","да","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-160bar-VE","от 0 до 160бар","G 1/2","100мм","да","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-250bar-VE","от 0 до 250бар","G 1/2","100мм","да","<img src=assets/inventory/B.png>"
,"G10-C-8G-100B-400bar-VE","от 0 до 400бар","G 1/2","100мм","да","<img src=assets/inventory/B.png>"
