#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Длина (мм),Параметр:Заказной код:Шкала,"Параметр:Заказной код:Материал деталей, контактирующих со средой"
,SN-C-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1300mm,NPT 1 наруж.,1300,Со шкалой,SS316
,SN-C-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1300mm,NPT 1 наруж.,1300,Без шкалы,SS316
,SN-C-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1300mm,ANSI 150# 1,1300,Со шкалой,SS316
,SN-C-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1300mm,ANSI 150# 1,1300,Без шкалы,SS316
,SN-C-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1300mm,Гост Py10 Dy25,1300,Со шкалой,SS316
,SN-C-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1300mm,Гост Py10 Dy25,1300,Без шкалы,SS316
,SN-C-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1300mm,Гост Py16 Dy25,1300,Со шкалой,SS316
,SN-C-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1300mm,Гост Py16 Dy25,1300,Без шкалы,SS316
,SN-A-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1400mm,NPT 1/2 наруж.,1400,Со шкалой,SS316
,SN-A-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1400mm,NPT 1/2 наруж.,1400,Без шкалы,SS316
,SN-A-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1400mm,ANSI 150# 1/2,1400,Со шкалой,SS316
,SN-A-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1400mm,ANSI 150# 1/2,1400,Без шкалы,SS316
,SN-A-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1400mm,Гост Py10 Dy15,1400,Со шкалой,SS316
,SN-A-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1400mm,Гост Py10 Dy15,1400,Без шкалы,SS316
,SN-A-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1400mm,Гост Py16 Dy15,1400,Со шкалой,SS316
,SN-A-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1400mm,Гост Py16 Dy15,1400,Без шкалы,SS316
,SN-B-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1400mm,NPT 3/4 наруж.,1400,Со шкалой,SS316
,SN-B-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1400mm,NPT 3/4 наруж.,1400,Без шкалы,SS316
,SN-B-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1400mm,ANSI 150# 3/4,1400,Со шкалой,SS316
,SN-B-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1400mm,ANSI 150# 3/4,1400,Без шкалы,SS316
,SN-B-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1400mm,Гост Py10 Dy20,1400,Со шкалой,SS316
,SN-B-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1400mm,Гост Py10 Dy20,1400,Без шкалы,SS316
,SN-B-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1400mm,Гост Py16 Dy20,1400,Со шкалой,SS316
,SN-B-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1400mm,Гост Py16 Dy20,1400,Без шкалы,SS316
,SN-C-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1400mm,NPT 1 наруж.,1400,Со шкалой,SS316
,SN-C-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1400mm,NPT 1 наруж.,1400,Без шкалы,SS316
,SN-C-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1400mm,ANSI 150# 1,1400,Со шкалой,SS316
,SN-C-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1400mm,ANSI 150# 1,1400,Без шкалы,SS316
,SN-C-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1400mm,Гост Py10 Dy25,1400,Со шкалой,SS316
,SN-C-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1400mm,Гост Py10 Dy25,1400,Без шкалы,SS316
,SN-C-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1400mm,Гост Py16 Dy25,1400,Со шкалой,SS316
,SN-C-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1400mm,Гост Py16 Dy25,1400,Без шкалы,SS316
,SN-A-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1500mm,NPT 1/2 наруж.,1500,Со шкалой,SS316
,SN-A-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1500mm,NPT 1/2 наруж.,1500,Без шкалы,SS316
,SN-A-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1500mm,ANSI 150# 1/2,1500,Со шкалой,SS316
,SN-A-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1500mm,ANSI 150# 1/2,1500,Без шкалы,SS316
,SN-A-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1500mm,Гост Py10 Dy15,1500,Со шкалой,SS316
,SN-A-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1500mm,Гост Py10 Dy15,1500,Без шкалы,SS316
,SN-A-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1500mm,Гост Py16 Dy15,1500,Со шкалой,SS316
,SN-A-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1500mm,Гост Py16 Dy15,1500,Без шкалы,SS316
,SN-B-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1500mm,NPT 3/4 наруж.,1500,Со шкалой,SS316
,SN-B-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1500mm,NPT 3/4 наруж.,1500,Без шкалы,SS316
,SN-B-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1500mm,ANSI 150# 3/4,1500,Со шкалой,SS316
,SN-B-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1500mm,ANSI 150# 3/4,1500,Без шкалы,SS316
,SN-B-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1500mm,Гост Py10 Dy20,1500,Со шкалой,SS316
,SN-B-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1500mm,Гост Py10 Dy20,1500,Без шкалы,SS316
,SN-B-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1500mm,Гост Py16 Dy20,1500,Со шкалой,SS316
,SN-B-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1500mm,Гост Py16 Dy20,1500,Без шкалы,SS316
,SN-C-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1500mm,NPT 1 наруж.,1500,Со шкалой,SS316
,SN-C-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1500mm,NPT 1 наруж.,1500,Без шкалы,SS316
,SN-C-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1500mm,ANSI 150# 1,1500,Со шкалой,SS316
,SN-C-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1500mm,ANSI 150# 1,1500,Без шкалы,SS316
,SN-C-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1500mm,Гост Py10 Dy25,1500,Со шкалой,SS316
,SN-C-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1500mm,Гост Py10 Dy25,1500,Без шкалы,SS316
,SN-C-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-1500mm,Гост Py16 Dy25,1500,Со шкалой,SS316
,SN-C-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-1500mm,Гост Py16 Dy25,1500,Без шкалы,SS316
